date,VaR_95,VaR_99
2015-02-09,-3.711431785856806,-6.522313069016873
2015-02-10,-3.5200242516379725,-6.185941573061818
2015-02-11,-3.5482943091045076,-6.235622175027475
2015-02-12,-3.677195838667127,-6.462148265062685
2015-02-13,-3.557020626155794,-6.250957435118979
2015-02-17,-3.3734017127359173,-5.928273331566026
2015-02-18,-3.2188402782565118,-5.6566536111356
2015-02-19,-3.0924760030237777,-5.434586384425939
2015-02-20,-2.9627632757144107,-5.206634729818768
2015-02-23,-2.884082977254868,-5.068365304829632
2015-02-24,-3.277721825958773,-5.760129549873281
2015-02-25,-3.1554370737368935,-5.54523150416553
2015-02-26,-3.5168612802067005,-6.180383100996744
2015-02-27,-3.418841080329446,-6.008126552156665
2015-03-02,-3.4184795732374655,-6.007491254900348
2015-03-03,-3.2519771443466885,-5.714886936503408
2015-03-04,-3.095994298860158,-5.440769288555213
2015-03-05,-2.9998453065337025,-5.271801120633228
2015-03-06,-3.1136840366720473,-5.4718564847574
2015-03-09,-2.9745062719859114,-5.2272713742380175
2015-03-10,-2.862031225419714,-5.0296124898817105
2015-03-11,-3.1275709423830547,-5.496260744847068
2015-03-12,-3.2608587128705433,-5.730495028959062
2015-03-13,-3.3088750956007336,-5.814876986833505
2015-03-16,-3.189703698469717,-5.605450219535075
2015-03-17,-3.1151150527114098,-5.474371291752123
2015-03-18,-3.1585122789368056,-5.550635739571858
2015-03-19,-3.092289682837972,-5.434258953220675
2015-03-20,-3.011898491198984,-5.292982877001544
2015-03-23,-3.0276025758568346,-5.320580570428421
2015-03-24,-2.968526820668483,-5.216763339677924
2015-03-25,-2.8683670674466573,-5.040746830384218
2015-03-26,-3.3271697708961425,-5.847027274554641
2015-03-27,-3.1868999763698294,-5.600523077033446
2015-03-30,-3.097864648021557,-5.444056160976121
2015-03-31,-3.379062304785697,-5.938221016350465
2015-04-01,-3.3934411453520523,-5.96348978192515
2015-04-02,-3.2230287502003283,-5.664014254379124
2015-04-06,-3.112921134567295,-5.470515792901722
2015-04-07,-3.145077417299455,-5.527025882596541
2015-04-08,-3.1013002159136316,-5.450093682518983
2015-04-09,-2.977082374966787,-5.2317985085378655
2015-04-10,-2.890980820480211,-5.080487282441649
2015-04-13,-2.7898743925776666,-4.902807127148658
2015-04-14,-2.7006638468517945,-4.746032291491089
2015-04-15,-2.6410392744957822,-4.641250592688457
2015-04-16,-2.5727723401420635,-4.521281172850612
2015-04-17,-2.5372862484758216,-4.458919417927605
2015-04-20,-2.6121891735324536,-4.59055064684205
2015-04-21,-2.933285062510524,-5.154830966116672
2015-04-22,-2.850206283808587,-5.008831838192376
2015-04-23,-2.871924279253102,-5.046998123791481
2015-04-24,-2.806870473493824,-4.932675320093482
2015-04-27,-2.720024600417868,-4.780056060024629
2015-04-28,-2.8762792054535606,-5.054651286697532
2015-04-29,-2.9932651828483983,-5.260237489887823
2015-04-30,-3.0613828062093833,-5.379944516909244
2015-05-01,-3.505259307054085,-6.159994284635347
2015-05-04,-3.853814031694652,-6.7725295990264005
2015-05-05,-3.6300777726835136,-6.379344971001664
2015-05-06,-3.785141150752626,-6.651846785843074
2015-05-07,-3.5976375396209255,-6.322335879019329
2015-05-08,-3.3993168364043047,-5.973815472588697
2015-05-11,-3.440252335484344,-6.045753785358961
2015-05-12,-3.346794333027462,-5.88151464909042
2015-05-13,-3.192942729150459,-5.611142354904626
2015-05-14,-3.0434493602050186,-5.348429038248823
2015-05-15,-3.2756671392889256,-5.756518730520343
2015-05-18,-3.1197621807284546,-5.482537957758074
2015-05-19,-3.055924177890751,-5.3703517546342665
2015-05-20,-2.926683501918493,-5.143229663059078
2015-05-21,-2.812581917588812,-4.942712370108965
2015-05-22,-2.784162962574173,-4.892770101896971
2015-05-26,-2.7395874361956243,-4.814434959280306
2015-05-27,-3.081340066844758,-5.41501656170875
2015-05-28,-3.1778524172296407,-5.584623279697111
